farmer_id,farmer_name,location_state,soil_type,soil_ph,nitrogen,phosphorus,potassium,rainfall_mm,temperature_c,recommended_crop,harvest_time_days,risk_level,cautions
48,Farmer 48,Rajasthan,Loamy,6.1,38,19,27,240,37,Pigeon Pea,122,Medium,Avoid waterlogging
49,Farmer 49,Chhattisgarh,Red Soil,6.2,26,27,42,197,34,Bajra,235,Medium,Check soil moisture weekly
50,Farmer 50,Rajasthan,Sandy,6.0,57,28,36,187,26,Millet,141,Low,Monitor pests
51,Farmer 51,Haryana,Laterite,7.4,26,10,47,135,30,Chilli,119,Low,Nitrogen application needed
52,Farmer 52,Gujarat,Sandy,7.1,59,33,50,209,30,Jute,219,Medium,Ensure proper irrigation
53,Farmer 53,Maharashtra,Black Soil,6.9,43,21,32,206,27,Groundnut,198,Medium,Check soil moisture weekly
54,Farmer 54,Haryana,Clay,5.8,48,13,38,139,29,Sugarcane,104,Medium,Avoid waterlogging
55,Farmer 55,Maharashtra,Black Soil,6.8,28,26,42,143,38,Soybean,175,Low,Monitor pests
56,Farmer 56,UP,Clay,7.2,51,14,24,124,32,Jute,134,Low,Avoid waterlogging
57,Farmer 57,Odisha,Clay,7.4,56,18,45,220,29,Pigeon Pea,108,High,Ensure proper irrigation
58,Farmer 58,Chhattisgarh,Black Soil,6.0,47,26,20,196,29,Chilli,260,Low,Avoid waterlogging
59,Farmer 59,Maharashtra,Laterite,6.4,47,24,38,219,37,Maize,276,Low,Fungal risk
60,Farmer 60,Karnataka,Clay,6.8,31,29,26,215,36,Jute,80,Medium,Nitrogen application needed
61,Farmer 61,Gujarat,Laterite,7.0,59,35,46,225,30,Chilli,101,Low,Nitrogen application needed
62,Farmer 62,Maharashtra,Loamy,7.0,45,35,39,173,35,Sugarcane,125,High,Ensure proper irrigation
63,Farmer 63,UP,Laterite,6.2,41,28,50,167,38,Maize,120,High,Nitrogen application needed
64,Farmer 64,Bihar,Loamy,7.1,59,26,36,147,36,Paddy,206,High,Monitor pests
65,Farmer 65,Maharashtra,Clay,6.6,43,25,44,143,29,Soybean,238,Medium,Nitrogen application needed
66,Farmer 66,West Bengal,Loamy,5.9,57,35,33,218,35,Pigeon Pea,128,Low,Fungal risk
67,Farmer 67,Bihar,Alluvial,7.0,29,15,41,123,30,Paddy,291,Medium,Fungal risk
68,Farmer 68,West Bengal,Loamy,6.3,35,35,49,223,35,Paddy,103,High,Monitor pests
69,Farmer 69,AP,Black Soil,7.3,40,28,41,228,29,Sugarcane,214,Low,Fungal risk
70,Farmer 70,West Bengal,Clay,5.9,44,10,44,173,37,Jute,255,Medium,Fungal risk
71,Farmer 71,Chhattisgarh,Sandy,7.4,51,19,24,183,35,Maize,193,Medium,Ensure proper irrigation
72,Farmer 72,Odisha,Red Soil,6.5,30,22,23,121,31,Chilli,111,High,Ensure proper irrigation
73,Farmer 73,Maharashtra,Red Soil,6.2,49,20,30,171,32,Maize,164,Medium,Avoid waterlogging
74,Farmer 74,Gujarat,Red Soil,6.8,54,30,24,138,27,Maize,180,Low,Nitrogen application needed
75,Farmer 75,Haryana,Sandy,6.4,35,23,27,139,26,Cotton,148,Low,Fungal risk
76,Farmer 76,Gujarat,Black Soil,7.1,27,25,29,225,28,Maize,285,Low,Monitor pests
77,Farmer 77,UP,Loamy,6.3,31,17,31,194,33,Millet,215,Low,Monitor pests
78,Farmer 78,Chhattisgarh,Clay,6.4,28,31,47,145,37,Sugarcane,193,High,Fungal risk
79,Farmer 79,West Bengal,Black Soil,5.9,29,15,21,190,32,Soybean,188,Low,Avoid waterlogging
80,Farmer 80,Rajasthan,Clay,7.2,40,14,49,117,36,Paddy,273,Medium,Monitor pests
81,Farmer 81,Chhattisgarh,Red Soil,6.9,59,22,45,213,30,Jute,254,Medium,Monitor pests
82,Farmer 82,Rajasthan,Red Soil,7.2,55,31,47,157,31,Jute,260,Low,Monitor pests
83,Farmer 83,Odisha,Clay,6.9,31,30,42,247,28,Jute,152,High,Nitrogen application needed
84,Farmer 84,Gujarat,Alluvial,6.0,50,32,26,112,26,Sugarcane,151,High,Check soil moisture weekly
85,Farmer 85,Gujarat,Black Soil,6.0,47,17,45,178,38,Cotton,288,Low,Avoid waterlogging
86,Farmer 86,AP,Laterite,6.4,27,31,34,258,38,Cotton,279,Medium,Avoid waterlogging
87,Farmer 87,Karnataka,Alluvial,7.1,36,25,27,138,26,Sugarcane,230,Low,Ensure proper irrigation
88,Farmer 88,Bihar,Black Soil,6.8,52,22,49,115,35,Cotton,97,Low,Avoid waterlogging
89,Farmer 89,West Bengal,Laterite,6.8,29,10,28,190,26,Jute,97,High,Avoid waterlogging
90,Farmer 90,Bihar,Clay,6.9,44,34,48,119,29,Jute,300,High,Check soil moisture weekly
91,Farmer 91,Odisha,Sandy,6.5,28,31,35,140,31,Pigeon Pea,291,Low,Fungal risk
92,Farmer 92,Maharashtra,Loamy,7.4,27,31,30,204,26,Millet,133,High,Avoid waterlogging
93,Farmer 93,Gujarat,Sandy,6.0,40,13,37,164,32,Soybean,84,High,Check soil moisture weekly
94,Farmer 94,Odisha,Laterite,6.4,53,20,35,175,33,Chilli,115,Low,Monitor pests
95,Farmer 95,Rajasthan,Loamy,6.6,28,19,49,221,29,Pigeon Pea,123,High,Avoid waterlogging
96,Farmer 96,Karnataka,Laterite,7.1,39,14,29,258,27,Groundnut,91,Medium,Check soil moisture weekly
97,Farmer 97,Maharashtra,Loamy,7.5,45,18,22,136,35,Jute,165,Medium,Fungal risk
98,Farmer 98,Maharashtra,Alluvial,6.7,35,11,47,146,35,Soybean,194,Medium,Check soil moisture weekly
99,Farmer 99,Bihar,Clay,6.0,34,12,50,250,34,Millet,183,High,Avoid waterlogging
100,Farmer 100,Odisha,Alluvial,6.7,57,17,32,222,35,Paddy,147,High,Ensure proper irrigation
